,index,alignment,equation,solutions,question,Type,Clean,pred
14,14,"[14, 49]",['X=(6.0+8.0)'],[14.0],Anna collects 6 blocks. Anna's father gives Anna 8 more. How many blocks does Anna have?,Addition,anna collects blocks annas father gives anna more how many blocks does anna have,Addition
15,15,"[11, 39]",['X=(4.0+5.0)'],[9.0],Donald has 4 oranges. He finds another 5. How many oranges does Donald have in all?,Addition,donald has oranges he finds another how many oranges does donald have in all,Addition
16,16,"[13, 45]",['X=(7.0+4.0)'],[11.0],"If there are 7 eggs in a box and Daniel puts 4 more eggs inside, how many eggs are in the box?",Addition,if there are eggs in a box and daniel puts more eggs inside how many eggs are in the box,Addition
17,17,"[15, 52]",['X=(9.0+6.0)'],[15.0],Wayne collects 9 blocks. Wayne's father gives Wayne 6 more. How many blocks does Wayne have?,Addition,wayne collects blocks waynes father gives wayne more how many blocks does wayne have,Addition
18,18,"[12, 34]",['X=(4.0+4.0)'],[8.0],"Bridget has 4 Skittles. Henry has 4 Skittles. If Henry gives all of his Skittles to Bridget, how many Skittles will Bridget have?",Addition,bridget has skittles henry has skittles if henry gives all of his skittles to bridget how many skittles will bridget have,Addition
19,19,"[15, 51]",['X=(4.0+8.0)'],[12.0],Ralph collects 4 cards. Ralph's father gives Ralph 8 more. How many cards does Ralph have?,Addition,ralph collects cards ralphs father gives ralph more how many cards does ralph have,Addition
20,20,"[19, 37]",['X=(3.0+76.0)'],[79.0],Martha starts with 3 cards. She gets 76 more from Emily. How many cards does Martha end with?,Addition,martha starts with cards she gets more from emily how many cards does martha end with,Addition
21,21,"[10, 21]",['X=(86.0+9.0)'],[95.0],There are 86 blocks. 9 blocks more are added. How many are there total?,Addition,there are blocks blocks more are added how many are there total,Addition
22,22,"[19, 52]",['X=(8.0+89.0)'],[97.0],Cheryl starts with 8 Skittles. Kathryn gives Cheryl 89 more. How many Skittles does Cheryl end with?,Addition,cheryl starts with skittles kathryn gives cheryl more how many skittles does cheryl end with,Addition
23,24,"[13, 50]",['X=(76.0+9.0)'],[85.0],"If there are 76 erasers in a box and Patrick puts 9 more erasers inside, how many erasers are in the box?",Addition,if there are erasers in a box and patrick puts more erasers inside how many erasers are in the box,Addition
24,28,"[16, 44]",['X=(7.0+55.0)'],[62.0],Amy starts with 7 peanuts. Gerald gives Amy 55 more. How many peanuts does Amy end with?,Addition,amy starts with peanuts gerald gives amy more how many peanuts does amy end with,Addition
25,33,"[19, 40]",['X=(52.0+2.0)'],[54.0],Teresa starts with 52 bananas. She gets 2 more from Rachel. How many bananas does Teresa end with?,Addition,teresa starts with bananas she gets more from rachel how many bananas does teresa end with,Addition
26,34,"[11, 31]",['X=(2.0+99.0)'],[101.0],"Gloria has 2 pencils. Lisa has 99 pencils. If Lisa gives all of her pencils to Gloria, how many pencils will Gloria have?",Addition,gloria has pencils lisa has pencils if lisa gives all of her pencils to gloria how many pencils will gloria have,Addition
27,36,"[17, 60]",['X=(77.0+2.0)'],[79.0],Mildred collects 77 oranges. Mildred's father gives Mildred 2 more. How many oranges does Mildred have?,Addition,mildred collects oranges mildreds father gives mildred more how many oranges does mildred have,Addition
28,40,"[17, 37]",['X=(5.0+86.0)'],[91.0],Anna starts with 5 candies. She gets 86 more from Larry. How many candies does Anna end with?,Addition,anna starts with candies she gets more from larry how many candies does anna end with,Addition
29,44,"[11, 32]",['X=(2.0+26.0)'],[28.0],"Martha has 2 peanuts. Joyce has 26 peanuts. If Joyce gives all of her peanuts to Martha, how many peanuts will Martha have?",Addition,martha has peanuts joyce has peanuts if joyce gives all of her peanuts to martha how many peanuts will martha have,Addition
30,45,"[18, 44]",['X=(7.0+47.0)'],[54.0],Kevin starts with 7 cards. He finds another 47. How many cards does Kevin end with?,Addition,kevin starts with cards he finds another how many cards does kevin end with,Addition
31,47,"[11, 35]",['X=(40.0+7.0)'],[47.0],Joshua has 40 bottle caps. He buys 7 more. How many bottle caps does Joshua have in all?,Addition,joshua has bottle caps he buys more how many bottle caps does joshua have in all,Addition
32,48,"[21, 44]",['X=(8.0+85.0)'],[93.0],Nicholas starts with 8 bottle caps. He gets 85 more from Catherine. How many bottle caps does Nicholas end with?,Addition,nicholas starts with bottle caps he gets more from catherine how many bottle caps does nicholas end with,Addition
33,49,"[17, 44]",['X=(27.0+4.0)'],[31.0],Mary starts with 27 eggs. She finds another 4. How many eggs does Mary end with?,Addition,mary starts with eggs she finds another how many eggs does mary end with,Addition
34,51,"[20, 38]",['X=(98.0+8.0)'],[106.0],Shirley starts with 98 eggs. She buys 8 more. How many eggs does Shirley end with?,Addition,shirley starts with eggs she buys more how many eggs does shirley end with,Addition
35,52,"[20, 40]",['X=(15.0+3.0)'],[18.0],William starts with 15 tickets. He buys 3 more. How many tickets does William end with?,Addition,william starts with tickets he buys more how many tickets does william end with,Addition
36,56,"[18, 37]",['X=(79.0+5.0)'],[84.0],Harry starts with 79 apples. He buys 5 more. How many apples does Harry end with?,Addition,harry starts with apples he buys more how many apples does harry end with,Addition
37,57,"[12, 32]",['X=(9.0+18.0)'],[27.0],Barbara has 9 candies. She buys 18 more. How many candies does Barbara have in all?,Addition,barbara has candies she buys more how many candies does barbara have in all,Addition
38,61,"[11, 31]",['X=(51.0+6.0)'],[57.0],Eugene has 51 pencils. He gets 6 more from Joyce. How many pencils does Eugene have in all?,Addition,eugene has pencils he gets more from joyce how many pencils does eugene have in all,Addition
39,62,"[12, 45]",['X=(9.0+56.0)'],[65.0],Anthony has 9 pencils. Kathryn gives Anthony 56 more. How many pencils does Anthony have in all?,Addition,anthony has pencils kathryn gives anthony more how many pencils does anthony have in all,Addition
40,66,"[19, 35]",['X=(8.0+62.0)'],[70.0],Andrew starts with 8 eggs. He buys 62 more. How many eggs does Andrew end with?,Addition,andrew starts with eggs he buys more how many eggs does andrew end with,Addition
41,71,"[18, 49]",['X=(4.0+36.0)'],[40.0],Annie starts with 4 crayons. Matthew gives Annie 36 more. How many crayons does Annie end with?,Addition,annie starts with crayons matthew gives annie more how many crayons does annie end with,Addition
42,74,"[11, 42]",['X=(11.0+4.0)'],[15.0],Angela has 11 tickets. Annie gives Angela 4 more. How many tickets does Angela have in all?,Addition,angela has tickets annie gives angela more how many tickets does angela have in all,Addition
43,77,"[12, 44]",['X=(4.0+39.0)'],[43.0],Charles has 4 apples. Jessica gives Charles 39 more. How many apples does Charles have in all?,Addition,charles has apples jessica gives charles more how many apples does charles have in all,Addition
44,78,"[17, 46]",['X=(91.0+8.0)'],[99.0],Lisa starts with 91 bananas. Maria gives Lisa 8 more. How many bananas does Lisa end with?,Addition,lisa starts with bananas maria gives lisa more how many bananas does lisa end with,Addition
45,83,"[19, 53]",['X=(18.0+63.0)'],[81.0],Evelyn starts with 18 bottle caps. She finds another 63. How many bottle caps does Evelyn end with?,Addition,evelyn starts with bottle caps she finds another how many bottle caps does evelyn end with,Addition
46,88,"[11, 31]",['X=(34.0+37.0)'],[71.0],Brenda has 34 apples. She gets 37 more from Willie. How many apples does Brenda have in all?,Addition,brenda has apples she gets more from willie how many apples does brenda have in all,Addition
47,92,"[11, 42]",['X=(67.0+38.0)'],[105.0],Joseph has 67 candies. Kathy gives Joseph 38 more. How many candies does Joseph have in all?,Addition,joseph has candies kathy gives joseph more how many candies does joseph have in all,Addition
48,93,"[10, 39]",['X=(57.0+95.0)'],[152.0],Janet has 57 apples. She finds another 95. How many apples does Janet have in all?,Addition,janet has apples she finds another how many apples does janet have in all,Addition
49,94,"[18, 52]",['X=(91.0+88.0)'],[179.0],Nancy starts with 91 bottle caps. She finds another 88. How many bottle caps does Nancy end with?,Addition,nancy starts with bottle caps she finds another how many bottle caps does nancy end with,Addition
50,98,"[11, 31]",['X=(53.0+16.0)'],[69.0],Harold has 53 marbles. He gets 16 more from Steve. How many marbles does Harold have in all?,Addition,harold has marbles he gets more from steve how many marbles does harold have in all,Addition
51,100,"[59, 15]",['X=(46.0-5.0)'],[41.0],Denise removes 5 bananas from a jar. There were originally 46 bananas in the jar. How many bananas are left in the jar?,Subtraction,denise removes bananas from a jar there were originally bananas in the jar how many bananas are left in the jar,Subtraction
52,101,"[59, 15]",['X=(87.0-4.0)'],[83.0],Arthur removes 4 pencils from a jar. There were originally 87 pencils in the jar. How many pencils are left in the jar?,Subtraction,arthur removes pencils from a jar there were originally pencils in the jar how many pencils are left in the jar,Subtraction
53,102,"[18, 39]",['X=(75.0-52.0)'],[23.0],Joyce starts with 75 apples. She gives 52 to Larry. How many apples does Joyce end with?,Subtraction,joyce starts with apples she gives to larry how many apples does joyce end with,Subtraction
54,103,"[64, 15]",['X=(87.0-47.0)'],[40.0],Rachel removes 47 bottle caps from a jar. There were originally 87 bottle caps in the jar. How many bottle caps are left in the jar?,Subtraction,rachel removes bottle caps from a jar there were originally bottle caps in the jar how many bottle caps are left in the jar,Subtraction
55,104,"[12, 38]",['X=(67.0-52.0)'],[15.0],Anne weighs 67 pounds. Douglas weighs 52 pounds. How much heavier is Anne than Douglas?,Subtraction,anne weighs pounds douglas weighs pounds how much heavier is anne than douglas,Subtraction
56,105,"[15, 40]",['X=(49.0-44.0)'],[5.0],Jessica weighs 49 pounds. Thomas weighs 44 pounds. How much heavier is Jessica than Thomas?,Subtraction,jessica weighs pounds thomas weighs pounds how much heavier is jessica than thomas,Subtraction
57,106,"[58, 14]",['X=(57.0-22.0)'],[35.0],Debra removes 22 apples from a jar. There were originally 57 apples in the jar. How many apples are left in the jar?,Subtraction,debra removes apples from a jar there were originally apples in the jar how many apples are left in the jar,Subtraction
58,107,"[21, 40]",['X=(96.0-3.0)'],[93.0],Virginia starts with 96 eggs. Amy takes 3 away. How many eggs does Virginia end with?,Subtraction,virginia starts with eggs amy takes away how many eggs does virginia end with,Subtraction
59,108,"[13, 38]",['X=(69.0-51.0)'],[18.0],Donna weighs 69 pounds. Willie weighs 51 pounds. How much heavier is Donna than Willie?,Subtraction,donna weighs pounds willie weighs pounds how much heavier is donna than willie,Subtraction
60,109,"[10, 40]",['X=(47.0-5.0)'],[42.0],There are 47 eggs in a box. Harry takes 5 eggs. How many are left?,Subtraction,there are eggs in a box harry takes eggs how many are left,Subtraction
61,110,"[19, 37]",['X=(92.0-40.0)'],[52.0],Edward starts with 92 eggs. He gives 40 to Phillip. How many eggs does Edward end with?,Subtraction,edward starts with eggs he gives to phillip how many eggs does edward end with,Subtraction
62,111,"[55, 14]",['X=(27.0-7.0)'],[20.0],David removes 7 eggs from a jar. There were originally 27 eggs in the jar. How many eggs are left in the jar?,Subtraction,david removes eggs from a jar there were originally eggs in the jar how many eggs are left in the jar,Subtraction
63,112,"[10, 42]",['X=(79.0-4.0)'],[75.0],There are 79 pencils in a box. Eric takes 4 pencils. How many are left?,Subtraction,there are pencils in a box eric takes pencils how many are left,Subtraction
64,115,"[17, 29]",['X=(87.0-7.0)'],[80.0],Jane starts with 87 crayons. 7 are eaten by a hippopotamus. How many crayons does Jane end with?,Subtraction,jane starts with crayons are eaten by a hippopotamus how many crayons does jane end with,Subtraction
65,117,"[10, 31]",['X=(95.0-3.0)'],[92.0],Roger has 95 candies. He gives 3 to Stephanie. How many candies will Roger have?,Subtraction,roger has candies he gives to stephanie how many candies will roger have,Subtraction
66,118,"[10, 46]",['X=(96.0-45.0)'],[51.0],There are 96 oranges in a box. Jonathan takes 45 oranges. How many are left?,Subtraction,there are oranges in a box jonathan takes oranges how many are left,Subtraction
67,119,"[18, 40]",['X=(95.0-42.0)'],[53.0],Marie starts with 95 erasers. She loses 42. How many erasers does Marie end with?,Subtraction,marie starts with erasers she loses how many erasers does marie end with,Subtraction
68,120,"[10, 43]",['X=(22.0-7.0)'],[15.0],There are 22 oranges in a box. Paula takes 7 oranges. How many are left?,Subtraction,there are oranges in a box paula takes oranges how many are left,Subtraction
69,121,"[12, 35]",['X=(88.0-4.0)'],[84.0],Melissa has 88 bananas. She shares 4 with Joshua. How many bananas will Melissa have?,Subtraction,melissa has bananas she shares with joshua how many bananas will melissa have,Subtraction
70,122,"[10, 33]",['X=(67.0-9.0)'],[58.0],Larry has 67 cards. Dennis takes 9 away. How many cards will Larry have?,Subtraction,larry has cards dennis takes away how many cards will larry have,Subtraction
71,123,"[12, 34]",['X=(81.0-4.0)'],[77.0],John weighs 81 pounds. Roy weighs 4 pounds. How much heavier is John than Roy?,Subtraction,john weighs pounds roy weighs pounds how much heavier is john than roy,Subtraction
72,124,"[18, 40]",['X=(93.0-6.0)'],[87.0],Larry starts with 93 stickers. He loses 6. How many stickers does Larry end with?,Subtraction,larry starts with stickers he loses how many stickers does larry end with,Subtraction
73,127,"[19, 31]",['X=(39.0-3.0)'],[36.0],Carlos starts with 39 bananas. 3 are eaten by a hippopotamus. How many bananas does Carlos end with?,Subtraction,carlos starts with bananas are eaten by a hippopotamus how many bananas does carlos end with,Subtraction
74,128,"[21, 46]",['X=(76.0-5.0)'],[71.0],Patricia starts with 76 candies. Albert takes 5 away. How many candies does Patricia end with?,Subtraction,patricia starts with candies albert takes away how many candies does patricia end with,Subtraction
75,130,"[10, 48]",['X=(16.0-6.0)'],[10.0],There are 16 bottle caps in a box. Marvin takes 6 bottle caps. How many are left?,Subtraction,there are bottle caps in a box marvin takes bottle caps how many are left,Subtraction
76,131,"[19, 46]",['X=(17.0-6.0)'],[11.0],Ernest starts with 17 crayons. Jennifer takes 6 away. How many crayons does Ernest end with?,Subtraction,ernest starts with crayons jennifer takes away how many crayons does ernest end with,Subtraction
77,137,"[15, 39]",['X=(59.0-9.0)'],[50.0],Mildred weighs 59 pounds. Carol weighs 9 pounds. How much heavier is Mildred than Carol?,Subtraction,mildred weighs pounds carol weighs pounds how much heavier is mildred than carol,Subtraction
78,139,"[18, 34]",['X=(65.0-4.0)'],[61.0],Diana starts with 65 bottle caps. 4 are eaten by a hippopotamus. How many bottle caps does Diana end with?,Subtraction,diana starts with bottle caps are eaten by a hippopotamus how many bottle caps does diana end with,Subtraction
79,140,"[9, 32]",['X=(63.0-55.0)'],[8.0],Ruby has 63 apples. Emily takes 55 away. How many apples will Ruby have?,Subtraction,ruby has apples emily takes away how many apples will ruby have,Subtraction
80,141,"[18, 30]",['X=(5.0-2.0)'],[3.0],Craig starts with 5 Skittles. 2 are eaten by a hippopotamus. How many Skittles does Craig end with?,Subtraction,craig starts with skittles are eaten by a hippopotamus how many skittles does craig end with,Subtraction
81,143,"[10, 32]",['X=(46.0-4.0)'],[42.0],Steve has 46 oranges. He shares 4 with Patrick. How many oranges will Steve have?,Subtraction,steve has oranges he shares with patrick how many oranges will steve have,Subtraction
82,146,"[15, 40]",['X=(39.0-2.0)'],[37.0],Bridget weighs 39 pounds. Martha weighs 2 pounds. How much heavier is Bridget than Martha?,Subtraction,bridget weighs pounds martha weighs pounds how much heavier is bridget than martha,Subtraction
83,147,"[10, 32]",['X=(76.0-59.0)'],[17.0],Brian has 76 cards. Wayne takes 59 away. How many cards will Brian have?,Subtraction,brian has cards wayne takes away how many cards will brian have,Subtraction
84,148,"[10, 22]",['X=(62.0-52.0)'],[10.0],Billy has 62 crayons. 52 are eaten by a hippopotamus. How many crayons will Billy have?,Subtraction,billy has crayons are eaten by a hippopotamus how many crayons will billy have,Subtraction
85,149,"[19, 46]",['X=(30.0-26.0)'],[4.0],Pamela starts with 30 bottle caps. Jean takes 26 away. How many bottle caps does Pamela end with?,Subtraction,pamela starts with bottle caps jean takes away how many bottle caps does pamela end with,Subtraction
86,150,"[14, 30]",['X=(34.0-8.0)'],[26.0],Katherine has 34 bottle caps. 8 are eaten by a hippopotamus. How many bottle caps will Katherine have?,Subtraction,katherine has bottle caps are eaten by a hippopotamus how many bottle caps will katherine have,Subtraction
87,154,"[12, 35]",['X=(70.0-19.0)'],[51.0],Melissa has 70 oranges. John takes 19 away. How many oranges will Melissa have?,Subtraction,melissa has oranges john takes away how many oranges will melissa have,Subtraction
88,156,"[18, 40]",['X=(47.0-45.0)'],[2.0],Norma starts with 47 bananas. She loses 45. How many bananas does Norma end with?,Subtraction,norma starts with bananas she loses how many bananas does norma end with,Subtraction
89,157,"[19, 41]",['X=(36.0-7.0)'],[29.0],Willie starts with 36 stickers. He gives 7 to Emily. How many stickers does Willie end with?,Subtraction,willie starts with stickers he gives to emily how many stickers does willie end with,Subtraction
90,160,"[18, 39]",['X=(81.0-34.0)'],[47.0],Aaron starts with 81 erasers. He gives 34 to Doris. How many erasers does Aaron end with?,Subtraction,aaron starts with erasers he gives to doris how many erasers does aaron end with,Subtraction
91,162,"[12, 37]",['X=(25.0-7.0)'],[18.0],Charles has 25 Skittles. Diana takes 7 away. How many Skittles will Charles have?,Subtraction,charles has skittles diana takes away how many skittles will charles have,Subtraction
92,167,"[10, 30]",['X=(88.0-70.0)'],[18.0],Norma has 88 cards. She loses 70. How many cards will Norma have?,Subtraction,norma has cards she loses how many cards will norma have,Subtraction
93,170,"[11, 34]",['X=(50.0-7.0)'],[43.0],Pamela has 50 Skittles. She gives 7 to Karen. How many Skittles will Pamela have?,Subtraction,pamela has skittles she gives to karen how many skittles will pamela have,Subtraction
94,175,"[19, 43]",['X=(76.0-72.0)'],[4.0],Evelyn starts with 76 Skittles. She shares 72 with Christine. How many Skittles does Evelyn end with?,Subtraction,evelyn starts with skittles she shares with christine how many skittles does evelyn end with,Subtraction
95,176,"[18, 39]",['X=(82.0-9.0)'],[73.0],Helen starts with 82 cards. Gary takes 9 away. How many cards does Helen end with?,Subtraction,helen starts with cards gary takes away how many cards does helen end with,Subtraction
96,178,"[17, 39]",['X=(89.0-5.0)'],[84.0],Ruth starts with 89 apples. She shares 5 with Peter. How many apples does Ruth end with?,Subtraction,ruth starts with apples she shares with peter how many apples does ruth end with,Subtraction
97,179,"[11, 31]",['X=(58.0-21.0)'],[37.0],Carlos has 58 blocks. He gives 21 to Rachel. How many blocks will Carlos have?,Subtraction,carlos has blocks he gives to rachel how many blocks will carlos have,Subtraction
98,184,"[18, 39]",['X=(78.0-44.0)'],[34.0],Jesse starts with 78 pencils. He gives 44 to Joshua. How many pencils does Jesse end with?,Subtraction,jesse starts with pencils he gives to joshua how many pencils does jesse end with,Subtraction
99,185,"[10, 21]",['X=(92.0-2.0)'],[90.0],Roger has 92 blocks. 2 are eaten by a hippopotamus. How many blocks will Roger have?,Subtraction,roger has blocks are eaten by a hippopotamus how many blocks will roger have,Subtraction
100,187,"[20, 42]",['X=(86.0-41.0)'],[45.0],Heather starts with 86 blocks. She shares 41 with Jose. How many blocks does Heather end with?,Subtraction,heather starts with blocks she shares with jose how many blocks does heather end with,Subtraction
101,189,"[18, 39]",['X=(74.0-59.0)'],[15.0],Ralph starts with 74 peanuts. He loses 59. How many peanuts does Ralph end with?,Subtraction,ralph starts with peanuts he loses how many peanuts does ralph end with,Subtraction
102,192,"[17, 39]",['X=(62.0-33.0)'],[29.0],Jack starts with 62 marbles. He shares 33 with Rebecca. How many marbles does Jack end with?,Subtraction,jack starts with marbles he shares with rebecca how many marbles does jack end with,Subtraction
103,195,"[13, 34]",['X=(99.0-7.0)'],[92.0],Clarence has 99 tickets. He gives 7 to Eugene. How many tickets will Clarence have?,Subtraction,clarence has tickets he gives to eugene how many tickets will clarence have,Subtraction
104,201,"[9, 20]",['X=(55.0-29.0)'],[26.0],Sean has 55 blocks. 29 are eaten by a hippopotamus. How many blocks will Sean have?,Subtraction,sean has blocks are eaten by a hippopotamus how many blocks will sean have,Subtraction
105,202,"[9, 30]",['X=(82.0+3.0)'],[85.0],Tina has 82 bananas. She gets 3 more from Joyce. How many bananas does Tina have in all?,Addition,tina has bananas she gets more from joyce how many bananas does tina have in all,Addition
106,203,"[10, 31]",['X=(3.0+53.0)'],[56.0],Janet has 3 stickers. She gets 53 more from Ruth. How many stickers does Janet have in all?,Addition,janet has stickers she gets more from ruth how many stickers does janet have in all,Addition
107,205,"[21, 49]",['X=(7.0+74.0)'],[81.0],Jennifer starts with 7 apples. She finds another 74. How many apples does Jennifer end with?,Addition,jennifer starts with apples she finds another how many apples does jennifer end with,Addition
108,216,"[12, 38]",['X=(60.0-35.0)'],[25.0],Heather has 60 oranges. Russell takes 35 away. How many oranges will Heather have?,Subtraction,heather has oranges russell takes away how many oranges will heather have,Subtraction
109,219,"[18, 38]",['X=(9.0+29.0)'],[38.0],Helen starts with 9 oranges. She gets 29 more from Ann. How many oranges does Helen end with?,Addition,helen starts with oranges she gets more from ann how many oranges does helen end with,Addition
110,221,"[12, 35]",['X=(2.0+41.0)'],[43.0],William has 2 bottle caps. He buys 41 more. How many bottle caps does William have in all?,Addition,william has bottle caps he buys more how many bottle caps does william have in all,Addition
111,222,"[12, 32]",['X=(72.0-5.0)'],[67.0],Dorothy has 72 cards. She gives 5 to Harold. How many cards will Dorothy have?,Subtraction,dorothy has cards she gives to harold how many cards will dorothy have,Subtraction
112,226,"[9, 31]",['X=(10.0-7.0)'],[3.0],Sara has 10 marbles. She loses 7. How many marbles will Sara have?,Subtraction,sara has marbles she loses how many marbles will sara have,Subtraction
113,227,"[13, 23]",['X=(72.0-61.0)'],[11.0],Jennifer has 72 cards. 61 are eaten by a hippopotamus. How many cards will Jennifer have?,Subtraction,jennifer has cards are eaten by a hippopotamus how many cards will jennifer have,Subtraction
114,228,"[10, 40]",['X=(4.0+79.0)'],[83.0],Wanda has 4 blocks. Theresa gives Wanda 79 more. How many blocks does Wanda have in all?,Addition,wanda has blocks theresa gives wanda more how many blocks does wanda have in all,Addition
115,229,"[12, 34]",['X=(10.0-3.0)'],[7.0],William has 10 marbles. He shares 3 with Theresa. How many marbles will William have?,Subtraction,william has marbles he shares with theresa how many marbles will william have,Subtraction
116,230,"[18, 28]",['X=(91.0-17.0)'],[74.0],Larry starts with 91 cards. 17 are eaten by a hippopotamus. How many cards does Larry end with?,Subtraction,larry starts with cards are eaten by a hippopotamus how many cards does larry end with,Subtraction
117,236,"[10, 35]",['X=(26.0+3.0)'],[29.0],Sarah has 26 bottle caps. She buys 3 more. How many bottle caps does Sarah have in all?,Addition,sarah has bottle caps she buys more how many bottle caps does sarah have in all,Addition
118,240,"[10, 51]",['X=(3.0*2.0)'],[6.0],There are 3 eggs in each box. How many eggs are in 2 boxes?,Multiplication,there are eggs in each box how many eggs are in boxes,Multiplication
119,241,"[23, 41]",['X=(2.0*6.0)'],[12.0],Each bottle cap costs $2.00. How much do 6 bottle caps cost?,Multiplication,each bottle cap costs how much do bottle caps cost,Multiplication
120,242,"[15, 39]",['X=(3.0*4.0)'],[12.0],"Each child has 3 oranges. If there are 4 children, how many oranges are there in total?",Multiplication,each child has oranges if there are children how many oranges are there in total,Multiplication
121,243,"[19, 37]",['X=(5.0*4.0)'],[20.0],Each banana costs $5.00. How much do 4 bananas cost?,Multiplication,each banana costs how much do bananas cost,Multiplication
122,244,"[19, 37]",['X=(9.0*4.0)'],[36.0],Each ticket costs $9.00. How much do 4 tickets cost?,Multiplication,each ticket costs how much do tickets cost,Multiplication
123,245,"[23, 41]",['X=(5.0*5.0)'],[25.0],Each bottle cap costs $5.00. How much do 5 bottle caps cost?,Multiplication,each bottle cap costs how much do bottle caps cost,Multiplication
124,246,"[13, 48]",['X=(7.0*5.0)'],[35.0],Michelle has 7 boxes of crayons. Each box holds 5 crayons. How many crayons does Michelle have?,Multiplication,michelle has boxes of crayons each box holds crayons how many crayons does michelle have,Multiplication
125,247,"[10, 57]",['X=(8.0*6.0)'],[48.0],There are 8 marbles in each box. How many marbles are in 6 boxes?,Multiplication,there are marbles in each box how many marbles are in boxes,Multiplication
126,248,"[15, 39]",['X=(2.0*9.0)'],[18.0],"Each child has 2 candies. If there are 9 children, how many candies are there in total?",Multiplication,each child has candies if there are children how many candies are there in total,Multiplication
127,249,"[15, 43]",['X=(5.0*9.0)'],[45.0],"Each child has 5 bottle caps. If there are 9 children, how many bottle caps are there in total?",Multiplication,each child has bottle caps if there are children how many bottle caps are there in total,Multiplication
128,250,"[15, 39]",['X=(6.0*2.0)'],[12.0],"Each child has 6 pencils. If there are 2 children, how many pencils are there in total?",Multiplication,each child has pencils if there are children how many pencils are there in total,Multiplication
129,251,"[15, 43]",['X=(5.0*9.0)'],[45.0],"Each child has 5 bottle caps. If there are 9 children, how many bottle caps are there in total?",Multiplication,each child has bottle caps if there are children how many bottle caps are there in total,Multiplication
130,252,"[19, 37]",['X=(9.0*4.0)'],[36.0],Each ticket costs $9.00. How much do 4 tickets cost?,Multiplication,each ticket costs how much do tickets cost,Multiplication
131,253,"[28, 57]",['X=(8.0*2.0)'],[16.0],Stephanie went to the store 8 times last month. She buys 2 oranges each time she goes to the store. How many oranges did Stephanie buy last month?,Multiplication,stephanie went to the store times last month she buys oranges each time she goes to the store how many oranges did stephanie buy last month,Multiplication
