,Type,Clean,label
104,Subtraction,a grocery store had bottles of regular soda and bottles of diet soda how many more bottles of diet soda than regular soda did they have,1
169,Subtraction,a grocery store had bottles of regular soda and bottles of diet soda how many more bottles of regular soda than diet soda did they have,1
609,Addition,a grocery store had bottles of regular soda bottles of diet soda and apples how many bottles did they have total,2
631,Subtraction,a grocery store had bottles of regular soda bottles of diet soda and apples how many more bottles of regular soda than diet soda did they have,1
248,Subtraction,a grocery store had bottles of regular soda bottles of diet soda and apples how many more bottles than apple did they have,1
835,Addition,a grocery store had bottles of regular soda bottles of diet soda and bottles of lite soda how many bottles did they have total,2
28,Addition,a grocery store had bottles of regular soda bottles of diet soda and bottles of lite soda how many bottles of regular soda and diet soda did they have altogether,2
241,Subtraction,a grocery store had bottles of regular soda bottles of diet soda and bottles of lite soda how many more bottles of regular soda did they have than diet soda,1
797,Division,a mailman gives junk mails to each house in a block if the mailman has to give pieces of junk mail to each block how many houses are there in a block,3
451,Division,a mailman has to give pieces of junk mail to each block if he gives mails to each house in a block how many houses are there in a block,3
137,Multiplication,a mailman has to give pieces of junk mail to each house in each block if there are houses on a block how many pieces of junk mail should he give in each block,0
272,Multiplication,a mailman has to give pieces of junk mail to each house in each of the blocks if there are houses in each block how many pieces of junk mail should he give in each block,0
971,Multiplication,a mailman has to give pieces of junk mail to each house in each of the blocks if there are houses in each block how many pieces of junk mail should he give in total,0
734,Division,a mailman has to give pieces of junk mail to each of the blocks if he gives mails to each house in a block how many houses are there in a block,3
966,Division,a mailman has to give pieces of junk mail to each of the blocks if there are houses on a block how many pieces of junk mail should he give each house,3
523,Multiplication,a perfect score is points how many points would you have after perfect games in a row,0
506,Subtraction,a pet supply store has bags of dog food and bags of cat food how many more bags of dog food are there than cat food,1
434,Multiplication,a sandbox is centimeters long and centimeters wide how many square centimeters of ground does the sandbox cover,0
915,Subtraction,a school has pupils there are girls and the rest are boys how many boys are there in that school,1
715,Subtraction,a waiter had customers after some left he got new customers if he still had customers how many customers left,1
312,Subtraction,a waiter had customers after some left he still had customers how many more customers left than those that stayed behind,1
800,Subtraction,a waiter had customers after some left he still had customers how many more customers stayed behind than those that left,1
54,Addition,a waiter had customers after some left he still had customers then he got new customers how many customers does he have now,2
452,Subtraction,a waiter had customers after some left he still had customers then he got new customers how many customers left,1
524,Subtraction,a waiter had customers after some more arrived he had customers how many new customers arrived,1
255,Subtraction,a waiter had customers customers left how many customers does he still have,1
60,Addition,a waiter had customers while customers left he got new customers how many customers does he still have,2
9,Addition,a waiter had some customers after customers left he still had customers how many customers did he have at the start,2
90,Subtraction,aaron starts with erasers he gives to doris how many erasers does aaron end with,1
217,Multiplication,adam could fit action figures and cabinets on each shelf in his room his room has shelves how many total items could his shelves hold,0
355,Multiplication,adam could fit action figures on each shelf in his room his room has could hold action figures how many total shelves did his room have,0
698,Multiplication,adam could fit action figures on each shelf in his room his room has shelves and cabinets how many total action figures could his shelves hold,0
388,Subtraction,adam has apples jackie has apples how many more apples does adam have than jackie,1
963,Subtraction,adam has apples jackie has apples how many more apples does jackie have than adam,1
216,Addition,adam has blocks ann has with blocks ann finds another how many blocks does ann end with,2
986,Subtraction,adam has more apples than jackie adam has apples how many apples does jackie have,1
951,Addition,adam has more apples than jackie jackie has oranges and apples how many apples does adam have,2
809,Addition,adam has more apples than jackie together adam and jackie have apples bob has apples more than adam and jackie together do how many apples does bob have,2
482,Subtraction,adam has to buy an airplane that costs how much change will he get,1
393,Subtraction,adolfo made a tower with blocks he added some more blocks and now he has blocks how many did he have to add,1
555,Subtraction,after a party of the cake is left over that night big brother eats of the cake how much is left over after that,1
350,Subtraction,after a typhoon trees in haleys backyard died if she had grown trees initially how many more trees died in the typhoon than those that survived,1
848,Subtraction,after a typhoon trees in haleys backyard died if she had grown trees initially how many more trees survived the typhoon than those that died,1
629,Subtraction,after a typhoon trees in haleys backyard died if she had grown trees initially how many trees does she have left,1
962,Subtraction,after eating a hearty meal they went to see the buckingham palace there rachel learned that visitors came to the buckingham palace on the previous day if people visited the buckingham palace within the past days how many visitors visited the buckingham palace on that day,1
647,Subtraction,after eating a hearty meal they went to see the buckingham palace there rachel learned that visitors came to the buckingham palace on the previous day if there were visitors on that day how many more visitors visited the buckingham palace on that day than on the previous day,1
36,Addition,after eating a hearty meal they went to see the buckingham palace there rachel learned that visitors came to the buckingham palace on the previous day if there were visitors on that day how many visited the buckingham palace within days,2
952,Subtraction,after eating a hearty meal they went to see the buckingham palace there rachel learned that visitors came to the buckingham palace that day if people visited the buckingham palace within the past days how many visitors visited the buckingham palace on the previous day,1
505,Subtraction,after eating a hearty meal they went to see the buckingham palace there rachel learned that visitors came to the buckingham palace that day if there were visitors the previous day and visitors the day before that how many more visitors visited the buckingham palace on that day than on the previous days,1
646,Addition,after eating a hearty meal they went to see the buckingham palace there rachel learned that visitors came to the buckingham palace that day if there were visitors the previous day and visitors the day before that how many visited the buckingham palace before that day,2
929,Addition,after eating a hearty meal they went to see the buckingham palace there rachel learned that visitors came to the buckingham palace that day if there were visitors the previous day and visitors the day before that how many visited the buckingham palace within the past days,2
89,Subtraction,after eating a hearty meal they went to see the buckingham palace there rachel learned that visitors came to the buckingham palace that day if there were visitors the previous day how many more visitors visited the buckingham palace on that day than on the previous day,1
59,Subtraction,after eating a hearty meal they went to see the buckingham palace there were paintings in the buckingham palace there rachel learned that visitors came to the buckingham palace that day if there were visitors the previous day how many more visitors visited the buckingham palace on that day than on the previous day,1
289,Addition,after eating a hearty meal they went to see the buckingham palace there were paintings in the buckingham palace there rachel learned that visitors came to the buckingham palace that day if there were visitors the previous day how many visited the buckingham palace within days,2
733,Subtraction,after finding some bottle caps at the park danny has bottle caps in his collection if he had bottle caps in his collection earlier how many bottle caps did he find at the park,1
750,Addition,after jessie started to go jogging everyday she lost kilograms she currently weighs kilograms how much did she weigh before starting to jog,2
131,Subtraction,after jessie started to go jogging everyday she lost kilograms she weighed kilograms before beginning jogging how much does she weigh now,1
881,Subtraction,after making some pies chef had apples left initially he had apples how many apples did he use,1
489,Subtraction,after olivia visited a supermarket there were dollars left if there were dollars in her wallet initially how much did she spend,1
146,Subtraction,after resting they decided to go for a swim if the depth of the water is times deans height and he stands at feet how much deeper is the water than deans height,1
150,Multiplication,after resting they decided to go for a swim the depth of the water is times deans height dean is feet shorter than ron if ron stands at feet how deep was the water,0
13,Multiplication,after resting they decided to go for a swim the depth of the water is times deans height dean is feet taller than ron if ron stands at feet how deep was the water,0
990,Multiplication,after resting they decided to go for a swim the depth of the water is times deans height if ron is feet tall and dean is feet shorter than ron how deep was the water,0
481,Multiplication,after resting they decided to go for a swim the depth of the water is times rons height dean is feet shorter than ron if ron stands at feet how deep was the water,0
889,Multiplication,after resting they decided to go for a swim the depth of the water is times rons height dean is feet taller than ron if ron stands at feet how deep was the water,0
218,Addition,albert has bottle caps anne has with bottle caps anne finds another how many bottle caps does anne end with,2
170,Division,albert has oranges stored in boxes if there are boxes how many oranges must go in each box,3
510,Multiplication,albert has two snakes the garden snake is inches long the boa constrictor is times longer than the garden snake how long is the boa constrictor,0
511,Multiplication,alberts cabbage patch has rows of cabbage in each row there are heads of cabbage how many heads of cabbage does albert have in all,0
731,Subtraction,allan and jake brought balloons to the park if allan brought balloons how many balloons did jake bring to the park,1
882,Addition,allan brought balloons and balls while jake brought balloons and balls to the park how many balloons did allan and jake have in the park,2
417,Addition,allan brought balloons and balls while jake brought balloons and balls to the park how many balls did allan and jake have in the park,2
100,Addition,allan brought balloons and jake brought balloons to the park allan then bought more balloons at the park how many balloons did allan and jake have in the park,2
77,Addition,allan brought balloons and jake brought balloons to the park allan then bought more balloons at the park how many balloons did allan bring to the park,2
108,Subtraction,allan brought balloons and jake brought balloons to the park allan then bought more balloons at the park how many more balloons did allan have than jake in the park,1
845,Subtraction,allan brought balloons and jake brought balloons to the park allan then bought more balloons at the park how many more balloons did jake have than allan in the park,1
788,Subtraction,allan brought balloons and jake brought balloons to the park how many more balloons did allan have than jake in the park,1
263,Subtraction,allan brought balloons and jake brought balloons to the park how many more balloons did jake have than allan in the park,1
849,Addition,allan brought balloons and jake brought balloons to the park jake then bought more balloons at the park how many balloons did jake bring to the park,2
659,Subtraction,allan brought balloons and jake brought balloons to the park jake then bought more balloons at the park how many more balloons did allan have than jake in the park,1
102,Subtraction,allan brought balloons and jake brought balloons to the park jake then bought more balloons at the park how many more balloons did jake have than allan in the park,1
758,Subtraction,allan brought balloons if allan and jake brought total of balloons to the park how many balloons did jake bring to the park,1
204,Subtraction,allan brought balloons to the park and then bought more balloons there if jake brought balloons to the park how many more balloons did jake have than allan in the park,1
802,Addition,allan brought balloons to the park if jake brought more balloons than the number of balloons that allan brought how many balloons did jake bring to the park,2
342,Subtraction,alyssa had cookies aiyanna has how many more cookies does aiyanna have than alyssa,1
24,Addition,amy starts with peanuts gerald gives amy more how many peanuts does amy end with,2
399,Division,an industrial machine can make shirts a minute it made shirts yesterday and shirts today how many minutes did the machine work in all,3
878,Multiplication,an industrial machine can make shirts a minute it worked for minutes yesterday and for minutes today how many shirts did machine make today,0
906,Multiplication,an industrial machine can make shirts a minute it worked for minutes yesterday and for shirts today how many shirts did machine make altogether,0
167,Division,an industrial machine can make shirts per minute it made shirts in all how many minutes was the machine working,3
165,Division,an industrial machine made shirts yesterday and shirts today it can make shirts a minute how many minutes did the machine work in all,3
66,Division,an industrial machine made shirts yesterday and shirts today it can make shirts a minute how many minutes did the machine work today,3
238,Division,an industrial machine made shirts yesterday and shirts today it can make shirts a minute how many minutes did the machine work yesterday,3
21,Multiplication,an industrial machine worked for minutes it can make shirts a minute how many shirts did machine make,0
561,Multiplication,andrew spent day working on his science report he worked for hours each day how many hours did he work,0
40,Addition,andrew starts with eggs he buys more how many eggs does andrew end with,2
42,Addition,angela has tickets annie gives angela more how many tickets does angela have in all,2
14,Addition,anna collects blocks annas father gives anna more how many blocks does anna have,2
28,Addition,anna starts with candies she gets more from larry how many candies does anna end with,2
55,Subtraction,anne weighs pounds douglas weighs pounds how much heavier is anne than douglas,1
209,Addition,annie has apples she gets more from nathan later annie buys crayons at the store how many apples does annie have in all,2
41,Addition,annie starts with crayons matthew gives annie more how many crayons does annie end with,2
39,Addition,anthony has pencils kathryn gives anthony more how many pencils does anthony have in all,2
466,Subtraction,arthur baked muffins how many more muffins does arthur have to bake to have muffins,1
537,Multiplication,arthur baked muffins james baked times as many how many muffins did james bake,0
213,Addition,arthur has cards aaron has with cards aaron finds another how many cards does aaron end with,2
52,Subtraction,arthur removes pencils from a jar there were originally pencils in the jar how many pencils are left in the jar,1
180,Division,ashley sold boxes of samoas how many cases of boxes plus extra boxes does ashley need,3
181,Division,ashley sold boxes of samoas how many cases of boxes plus extra boxes does ashley need,3
178,Division,ashley sold boxes of samoas how many cases of boxes plus extra boxes does ashley need,3
179,Division,ashley sold boxes of samoas how many cases of boxes plus extra boxes does ashley need,3
303,Subtraction,at mrs hilts house there was inches of snow and brecknock elementary school received inches of snow how much more snow did mrs hilts house have,1
354,Addition,at the arcade dave had won some tickets he used tickets to buy some toys if he still has tickets left how many tickets did dave win at the arcade,2
621,Subtraction,at the arcade dave had won tickets and lost tickets if he used to buy some toys how many tickets did dave have left,1
438,Subtraction,at the arcade dave had won tickets he used some tickets to buy toys if he still has tickets left how many tickets did dave use to buy toys,1
397,Subtraction,at the arcade dave had won tickets if he used to buy some toys and more to buy some clothes how many more tickets did dave use to buy clothes than he did to buy toys,1
608,Subtraction,at the arcade dave had won tickets if he used to buy some toys and more to buy some clothes how many more tickets did dave use to buy toys than he did to buy clothes,1
841,Subtraction,at the arcade dave had won tickets if he used to buy some toys and more to buy some clothes how many tickets did dave have left,1
815,Addition,at the stop more people got on the bus initially there were people on the bus how many people are there on the bus now,2
521,Addition,at the stop more people got on the train initially there were people on the train how many people are there on the train now,2
50,Subtraction,at the zoo a cage had snakes and alligators if alligators were hiding how many alligators were not hiding,1
996,Subtraction,at the zoo a cage had snakes and alligators if snakes and alligators were hiding how many alligators were not hiding,1
547,Subtraction,at the zoo a cage had snakes and alligators if snakes were hiding how many snakes were not hiding,1
330,Subtraction,at the zoo a cage had snakes and alligators the total number of animals in the cage was if snakes and alligators were hiding how many animals were not hiding in all,1
64,Subtraction,baker made cakes and pastries if he sold cakes and pastries how many cakes would baker still have,1
607,Subtraction,baker made cakes and pastries if he sold cakes and pastries how many more cakes than pastries did baker make,1
911,Subtraction,baker made cakes and pastries if he sold cakes and pastries how many more cakes than pastries did baker sell,1
804,Subtraction,baker made cakes and pastries if he sold cakes and pastries how many more pastries than cakes did baker make,1
668,Subtraction,baker made cakes and pastries if he sold cakes and pastries how many more pastries than cakes did baker sell,1
860,Subtraction,baker made cakes and pastries if he sold cakes and pastries how many pastries would baker still have,1
628,Subtraction,baker made cakes and pastries if he sold pastries and cakes how many more cakes than pastries did baker sell,1
190,Subtraction,baker made cakes and pastries if he sold pastries and cakes how many more pastries than cakes did baker sell,1
745,Addition,baker made cakes he bought new cakes and sold cakes how many cakes does baker still have,2
321,Subtraction,baker made cakes he bought new cakes and sold cakes how many more cakes did baker buy than those he sold,1
376,Subtraction,baker made cakes he bought new cakes and sold cakes how many more cakes did baker sell than those he bought,1
20,Addition,baker made cakes he sold of them and bought new cakes how many cakes does baker still have,2
328,Subtraction,baker made cakes he sold of them and bought new cakes how many more cakes did baker buy than those he sold,1
210,Subtraction,baker made cakes he sold of them and bought new cakes how many more cakes did baker sell than those he bought,1
794,Addition,baker made cakes he sold of them then he made more cakes how many cakes would baker still have,2
219,Subtraction,baker made cakes he sold of them then he made more cakes how many more cakes did baker make than those he sold,1
557,Subtraction,baker made cakes he sold some of them if he still has cakes left how many cakes did baker sell,1
577,Subtraction,baker made cakes if he sold of them how many more cakes did baker make than those he sold,1
551,Subtraction,baker made cakes if his friend bought cakes from him how many cakes would baker still have,1
587,Addition,baker made cakes then he made more cakes he sold of them how many cakes would baker still have,2
979,Subtraction,baker made cakes then he made more cakes he sold of them how many more cakes did baker make than those he sold,1
795,Subtraction,baker made pastries and cakes if he sold cakes and pastries how many cakes would baker still have,1
719,Subtraction,baker made pastries and cakes if he sold cakes and pastries how many more cakes than pastries did baker make,1
916,Subtraction,baker made pastries and cakes if he sold cakes and pastries how many more pastries than cakes did baker make,1
684,Subtraction,baker made pastries and cakes if he sold cakes and pastries how many pastries would baker still have,1
276,Addition,baker made some cakes he sold of them if he still has cakes left how many cakes did baker make,2
580,Subtraction,baker sold cakes if he had made cakes initially how many cakes would baker still have,1
645,Subtraction,baker sold cakes if he had made cakes initially how many more cakes did baker make than those he sold,1
817,Subtraction,bakers friend bought cakes from him if he had made cakes initially how many cakes would baker still have,1
37,Addition,barbara has candies she buys more how many candies does barbara have in all,2
299,Subtraction,beavers were working on their home went for a swim how many beavers are still working on their home,1
836,Subtraction,because of the decision sofia asked students to suggest specific types of food students suggested adding bacon while others suggested adding mashed potatoes to the menu how many students suggested mashed potatoes,1
71,Subtraction,because of the decision sofia asked students to suggest specific types of food students suggested adding mashed potatoes while others suggested adding bacon to the menu how many students suggested bacon,1
26,Addition,because of the decision sofia asked the students to suggest specific types of food from a total of choices if students suggested adding mashed potatoes suggested adding bacon to the menu and the rest did not participate how many students participated in the suggestion of new food items,2
182,Subtraction,because of the decision sofia asked the students to suggest specific types of food if students suggested adding bacon suggested adding mashed potatoes to the menu and suggested adding tomatoes how many more students suggested mashed potatoes than those that suggested bacon,1
74,Addition,because of the decision sofia asked the students to suggest specific types of food if students suggested adding mashed potatoes as well as bacon while suggested adding only bacon to the menu how many students suggested adding bacon,2
367,Subtraction,because of the decision sofia asked the students to suggest specific types of food if students suggested adding mashed potatoes suggested adding bacon to the menu and suggested adding tomatoes how many more students suggested bacon than those that suggested tomatoes,1
144,Subtraction,because of the decision sofia asked the students to suggest specific types of food if students suggested adding mashed potatoes suggested adding bacon to the menu and suggested adding tomatoes how many more students suggested mashed potatoes than those that suggested bacon,1
251,Subtraction,because of the decision sofia asked the students to suggest specific types of food if students suggested adding mashed potatoes suggested adding bacon to the menu and suggested adding tomatoes how many more students suggested mashed potatoes than those that suggested tomatoes,1
830,Addition,because of the decision sofia asked the students to suggest specific types of food if students suggested adding mashed potatoes suggested adding bacon to the menu and suggested adding tomatoes how many students participated in the suggestion of new food items,2
118,Subtraction,because of the decision sofia asked the students to suggest specific types of food if students suggested adding mashed potatoes while suggested adding bacon to the menu how many more students suggested bacon than those that suggested mashed potatoes,1
91,Subtraction,because of the decision sofia asked the students to suggest specific types of food if students suggested adding mashed potatoes while suggested adding bacon to the menu how many more students suggested mashed potatoes than those that suggested bacon,1
714,Addition,because of the decision sofia asked the students to suggest specific types of food students suggested adding mashed potatoes while others suggested adding bacon to the menu if more students suggested adding bacon than those that suggested mashed potatoes how many students suggested bacon,2
423,Subtraction,because of the decision sofia asked the students to suggest specific types of food students suggested adding mashed potatoes while others suggested adding bacon to the menu if more students suggested adding mashed potatoes than those that suggested bacon how many students suggested bacon,1
961,Multiplication,being his favorite he saved checking on the grapevines after stops he was told by of the pickers that they fill drums of grapes per day how many drums of grapes would be filled in days,0
315,Division,being his favorite he saved checking on the grapevines for his last stop he was told by of the pickers that they fill drums of grapes in days how many drums of grapes would be filled in each day,3
959,Division,being his favorite he saved checking on the grapevines for his last stop he was told by of the pickers that they fill drums of grapes in days how many drums of grapes would be filled per day,3
442,Multiplication,being his favorite he saved checking on the grapevines for his last stop he was told by of the pickers that they fill drums of grapes per day and drums of raspberries per day how many drums of grapes would be filled in days,0
671,Division,being his favorite he saved checking on the grapevines for his last stop he was told by of the pickers that they fill drums of grapes per day how many days will it take to fill drums of grapes,3
448,Multiplication,being his favorite he saved checking on the grapevines for his last stop he was told by of the pickers that they fill drums of raspberries per day and drums of grapes per day how many drums of grapes would be filled in days,0
548,Subtraction,beka flew miles to visit her aunt jackson flew miles to visit his aunt how many more miles did beka fly than jackson,1
444,Multiplication,beth has packs of crayons each pack has crayons in it she also has extra crayons how many crayons does beth have altogether,0
144,Division,betty has oranges stored in boxes if there are boxes how many oranges must go in each box,3
84,Subtraction,billy has crayons are eaten by a hippopotamus how many crayons will billy have,1
669,Addition,birds and storks were sitting on the fence more birds came to join them how many birds and storks are sitting on the fence,2
455,Addition,birds and storks were sitting on the fence more birds came to join them how many birds are sitting on the fence,2
43,Subtraction,birds and storks were sitting on the fence more birds came to join them how many more birds than storks are sitting on the fence,1
86,Subtraction,birds and storks were sitting on the fence more birds came to join them how many more storks than birds are sitting on the fence,1
322,Addition,birds and storks were sitting on the fence more storks came to join them how many birds and storks are sitting on the fence,2
832,Subtraction,birds and storks were sitting on the fence more storks came to join them how many more birds than storks are sitting on the fence,1
516,Subtraction,birds and storks were sitting on the fence more storks came to join them how many more storks than birds are sitting on the fence,1
658,Addition,birds and storks were sitting on the fence more storks came to join them how many storks are sitting on the fence,2
417,Addition,birds were sitting in a tree more birds flew up to the tree how many birds were there altogether in the tree,2
355,Addition,birds were sitting in a tree more birds flew up to the tree how many birds were there altogether in the tree,2
356,Subtraction,birds were sitting in a tree some more fly up to the tree then there were birds in the tree how many more flew up to the tree,1
419,Subtraction,birds were sitting in a tree some more fly up to the tree then there were birds in the tree how many more fly up to the tree,1
14,Addition,birds were sitting on the fence more birds and more storks came to join them how many birds are sitting on the fence,2
208,Subtraction,birds were sitting on the fence more birds and more storks came to join them how many more birds than storks are sitting on the fence,1
687,Subtraction,birds were sitting on the fence more birds and more storks came to join them how many more storks than birds are sitting on the fence,1
293,Addition,birds were sitting on the fence more birds came to join them how many birds are sitting on the fence,2
10,Subtraction,birds were sitting on the fence more storks and more birds came to join them how many more storks than birds are sitting on the fence,1
561,Subtraction,birds were sitting on the fence some more birds came to join them if there are a total of birds on the fence now how many more birds had come to sit on the fence,1
412,Multiplication,boats are in the lake each boat has people how many people are on boats in the lake,0
672,Subtraction,bobby ate pieces of candy if he initially had pieces of candy how many pieces of candy does he still have left,1
449,Subtraction,bobby ate pieces of candy then he ate more he also ate pieces of chocolate how many more pieces of candy than chocolate did bobby eat,1
433,Addition,bobby ate pieces of candy then he ate more he also ate pieces of chocolate how many pieces of candy and chocolate did bobby eat altogether,2
601,Addition,bobby ate pieces of candy then he ate more he also ate pieces of chocolate how many pieces of candy did bobby eat,2
327,Addition,bobby ate pieces of candy then he ate more how many pieces of candy did bobby eat,2
974,Subtraction,bobby ate pieces of candy then he ate more if he initially had pieces of candy how many pieces of candy does he still have left,1
337,Subtraction,bobby ate some pieces of candy then he ate more if he ate a total of pieces of candy how many pieces of candy had he eaten at the start,1
10,Addition,bobby collects blocks bobbys father gives bobby more how many blocks does bobby have,2
503,Subtraction,bobby had pieces of candy he ate pieces of candy how many pieces of candy does he still have left,1
504,Addition,bobby had pieces of candy he ate pieces of candy then he ate more how many pieces of candy did bobby eat,2
556,Subtraction,bobby had pieces of candy he ate pieces of candy then he ate more how many pieces of candy does he still have left,1
644,Subtraction,bobby had pieces of candy he ate some pieces of candy if he has pieces of candy left how many pieces of candy did bobby eat,1
603,Subtraction,bobby had pieces of candy he ate some pieces of candy then he ate more if he still has pieces of candy left how many pieces of candy had he eaten at the start,1
365,Subtraction,bobby has books kristi has books how many more books does bobby have than kristi,1
525,Multiplication,bobs car gets kilometers per gallon how far can he drive on gallons of gas,0
174,Division,bonnie has tickets if she shares them among friends how many tickets does each friend get,3
324,Addition,boys went down the slide more boys went down the slide how many boys went down the slide,2
396,Subtraction,brad has balloons balloons are red and the rest are green how many green balloons does brad have,1
230,Subtraction,brandon has skittles bonnie has skittles he loses how many skittles will brandon have,1
46,Addition,brenda has apples she gets more from willie how many apples does brenda have in all,2
3,Addition,brenda starts with skittles she buys more how many skittles does brenda end with,2
172,Division,brenda wants to split a collection of erasers into groups of brenda has erasers how many groups will be created,3
274,Division,brendas mother made cookies for guests but guests did not come if she prepared cookies and each guest had the same number of cookies how many did each of them have,3
446,Division,brendas mother made cookies for guests each guest had cookies if she prepared a total of cookies how many guests did she prepare cookies for,3
81,Division,brendas mother made cookies for guests if each of them had the same number of cookies how many did each of them have,3
525,Division,brendas mother made cookies for guests if she prepared cookies and each of them had cookies how many guests did she prepare cookies for,3
183,Multiplication,brendas mother made cookies for if each of them had cookies how many cookies did she prepare,0
738,Division,brendas mother made cookies for she prepared cookies but had to throw away cookies if each of them had the same number of cookies how many did each of them have,3
522,Multiplication,brett drove miles every hour how many miles would he drive in hours,0
83,Subtraction,brian has cards wayne takes away how many cards will brian have,1
524,Multiplication,brians car gets miles per gallon on his last trip he used gallons of gas how many miles did he travel on his last trip,0
2,Addition,bridget has skittles henry has skittles if henry gives all of his skittles to bridget how many skittles will bridget have,2
18,Addition,bridget has skittles henry has skittles if henry gives all of his skittles to bridget how many skittles will bridget have,2
82,Subtraction,bridget weighs pounds martha weighs pounds how much heavier is bridget than martha,1
226,Subtraction,bruce has eggs kimberly has eggs he loses how many eggs will bruce have,1
415,Subtraction,bryan has skittles ben has mms who has more how many more does he have,1
858,Multiplication,bryan took a look at his books and magazines if he has books and magazines in each of his bookshelves how many books and magazines does he have in total,0
934,Multiplication,bryan took a look at his books and magazines if he has books and magazines in each of his bookshelves how many books does he have in total,0
205,Multiplication,bryan took a look at his books and magazines if he has books and magazines in each of his bookshelves how many magazines does he have in total,0
325,Division,bryan took a look at his books as well each bookshelf contains books if he has a total of books how many bookshelves does he have,3
434,Division,bryan took a look at his books as well he has bookshelves with each having the same number of books if he has a total of books how many books are there in each bookshelf,3
755,Division,bryan took a look at his books as well if he has a total of books and each bookshelf contains books how many bookshelves does he have,3
523,Division,bryan took a look at his books as well if he has books distributed equally in bookshelves how many books are there in each bookshelf,3
340,Subtraction,cade had marbles he gave to dylan how many does he have left,1
458,Addition,campers went rowing and campers went hiking in the morning campers went rowing in the afternoon how many campers went rowing and hiking in all,2
282,Addition,campers went rowing and campers went hiking in the morning campers went rowing in the afternoon how many campers went rowing in all,2
953,Subtraction,campers went rowing and campers went hiking in the morning campers went rowing in the afternoon how many more campers went rowing in the morning than in the afternoon,1
412,Addition,campers went rowing in the morning campers went rowing in the afternoon and campers went rowing in the evening how many campers went rowing in all,2
857,Subtraction,campers went rowing in the morning campers went rowing in the afternoon and campers went rowing in the evening how many more campers went rowing in the afternoon than in the evening,1
921,Subtraction,campers went rowing in the morning campers went rowing in the afternoon and campers went rowing in the evening how many more campers went rowing in the morning than in the afternoon,1
